HPV41,EdPV1,58.60524632117722
HPV41,TbraPV1,59.16030534351145
HPV41,TbraPV2,60.35691523263225
HPV41,TbraPV3,57.64411027568922
HPV41,EsPV1,57.09698137443803
HPV41,EsPV3,57.07850707850708
HPV41,RfPV1,57.998725302740596
HPV41,EhPV1,56.55216284987278
HPV41,MscPV2,55.98455598455598
EdPV1,TbraPV1,56.952380952380956
EdPV1,TbraPV2,55.76800509878904
EdPV1,TbraPV3,56.609740670461726
EdPV1,EsPV1,57.71725032425421
EdPV1,EsPV3,57.534246575342465
EdPV1,RfPV1,56.813819577735124
EdPV1,EhPV1,57.34355044699873
EdPV1,MscPV2,57.19844357976653
TbraPV1,TbraPV2,81.68284789644012
TbraPV1,TbraPV3,60.41275797373359
TbraPV1,EsPV1,57.47782002534855
TbraPV1,EsPV3,57.22433460076045
TbraPV1,RfPV1,59.65583173996176
TbraPV1,EhPV1,56.463878326996195
TbraPV1,MscPV2,58.173690932311615
TbraPV2,TbraPV3,59.161976235146966
TbraPV2,EsPV1,57.714285714285715
TbraPV2,EsPV3,56.6984126984127
TbraPV2,RfPV1,58.93997445721584
TbraPV2,EhPV1,54.98412698412698
TbraPV2,MscPV2,57.692307692307686
TbraPV3,EsPV1,56.183301946013806
TbraPV3,EsPV3,57.731305449936634
TbraPV3,RfPV1,56.81818181818182
TbraPV3,EhPV1,56.39571518588532
TbraPV3,MscPV2,56.439393939393945
EsPV1,EsPV3,77.6246719160105
EsPV1,RfPV1,63.75404530744336
EsPV1,EhPV1,59.37300063979527
EsPV1,MscPV2,57.90849673202615
EsPV3,RfPV1,62.6953125
EsPV3,EhPV1,58.189929891650735
EsPV3,MscPV2,56.99346405228758
RfPV1,EhPV1,60.012919896640824
RfPV1,MscPV2,58.04150453955902
EhPV1,MscPV2,57.734627831715216
